#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
600,1.2000000000000008,-688885.7153099611,95355.49773696058,253.63816923237275,0.9996033189071659
700,1.400000000000001,-684389.2778724892,97667.65035220687,259.7883144283492,0.9996033189071659
800,1.6000000000000012,-682113.5607699043,100848.53650286145,268.24922291224374,1.0011857288893093
900,1.8000000000000014,-679425.0118883605,103091.87604963366,274.21633072578027,1.0011857288893093
1000,2.0000000000000013,-677009.1367690718,104004.91280011888,276.64493710224497,1.0011857288893093
