#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,0.20000000000000015,-716646.6454144148,64710.139428463044,172.1239119393233,0.9926843337540473
200,0.4000000000000003,-709356.2486693433,74670.67975688759,198.61817051302248,0.9963960595996006
300,0.6000000000000004,-702842.0639266254,81860.97308738004,217.74378864592381,0.9978312230730688
400,0.8000000000000006,-697359.2152082304,87453.62792886286,232.61981329900934,0.9978312230730688
500,1.0000000000000007,-692647.8032502551,91868.1408419277,244.3620725278491,0.9996033189071659
